Social_media 	No creo que tú hayas venido a parar al infierno. Tú no has venido, ¿verdad? Tú no has creído, ¿verdad?	Akuxi yuri neukati'erie kename pehe't+a NEKEMA.....Kepai pekatikuyet+ pemuta'uku'eiri..Tsepakutari kauka m+ya'tey+némete..
Social_media 	exactamente lo que hizo	yemets+ yuripepaine
Social_media 	si yo lo quiero comer...	+ nepeiye +wa...nepeikwaim+k+...
Social_media 	Ukilla no tenía dinero para	Ukiratsi kepatme tumini pemeu
Social_media 	Buenas tardes	Etsiwa ts+karik+te
Social_media 	Así es la flor.	Á+ tuuturi.
Social_media 	Puente	Puwarika
Social_media 	donde quieras que te vea mi madre.	Hakewa pepeyeika nemama metseuxeiyam+k+.
Social_media 	A casa. Vuelvo a los muertos, ya no puedo más aquí.	Ne kie. Uxaà xeikua nepükuyani. warie ena nepukani.
Social_media 	mi cabeza más grande que tu jabalí	nemupau aneme nekemate aixupuane
Social_media 	para que venga el veneno de alguien desconocida!...	Em+ panik+ uayeyari xewit+ kati mate!...
Social_media 	yo me entristezco... como un pájaro llorando.. sí	Ne peyuksheiweriet+ya...wiki matsuaka hepa+..k kuta
Social_media 	nunca salga alguien primero por aquí!	kentiy+weni tsiet+ xewit meri te u uwa!
Social_media 	a ver si me hace el favor de visitarlos	heiwats+ x+ka aix+ ne uyu kuyurieni yani niuy+neni
Social_media 	¡Ya no estoy aquí! ¡Nadie va a venir!"-	Yeri neka ni tuaka! xewit+ mi axe!
Social_media 	el joven perro esa flor era como si fuera una prima	temaik+yari ts+ echiwa tuturi hepa+ netini yu hek+a kait+ni prima
Social_media 	tantas como quieras con mi piel, córtala como yo pueda,	Keepa+meme Pemaat+k+ Ke Ne At+a Ne Kie,keetiuuru M+k+ Ne Wixi Ne Kani Mim+k+,jaaajaaja
Social_media 	un centavo sólo por mi hambre... y luego por el hueco de una gran jarra	xei kiriwayarii xeik+a nepe axix+ ne hamik+... ent+t+ y luego empapa xeik+a jajja
Social_media 	Mónón de Ampaña con Au	M+k+ Ts+ Ampapa Xei Waxayaritsie Ekame Au Yak+
Social_media 	CONSTITUCIÓN POLÍTICA!	KE 'AKU IWAMARIXI WAIKAMETE!
Social_media 	con los cuales todo sería posible	M+k+ tat+ kem+tiy+waweni
Social_media 	Uuchichi es un lindo león,, jeje.	Uutsii tsipure churi maye,,, jeje.
Social_media 	BASE TERCERA HISTORIA!	KE 'AKU NE 'IWAMA XEYUNAIT+!
Social_media 	Gracias a mi tallo, tú eres mi esposo	Pampariyutsi ne talu, 'ek+ pa+na
Social_media 	de que manera tan cobarde	Ke kuta uka wisti anet+
Social_media 	CONSTITUCIÓN	XEP+KAUYEWEKÁ
Social_media 	¡AIXETE!	¡AIXE YEME!
Social_media 	de ninguna manera!!	Tsepa kuta at+ar+eyu ké!!
Social_media 	tantas como yo las necesito! ¿Dónde no las veo?	Xeime ne pauyeh+wa! Hakewa ne pikaxeiyawe!
Social_media 	Hace cuatro días	Yat+t+xeik+a
Social_media 	que los perritos le decían... buscaban de él...	Keri teiwarixi petiwak+h+awe...patiwaku itaiya....
Social_media 	Gracias a Dios y a todos los que nos ayudan.	Pampariyutsi tayutsi takaka+ma tateteima tsiere yunait+ xem+tatsi'uparewi.
Social_media 	¡Eso es ridículo!!,	Etsi xanini!!!
Social_media 	Nuestros hermanos	Tame waiku
Social_media 	hombres y mujeres están en sus camas.	Kietiri ukari xetenepika.
Social_media 	Yo no lo como	Ne waiku e reikua
Social_media 	Un plato de harina	Etsiwa reikua
Social_media 	que cómo se desgastó, no hay nada dentro de ella...	ket+ri pe ita x+ni, pumawe hapa+na anet+...
Social_media 	E, eh, que clase de	E,eeehh Ket+ kuta
Social_media 	Antes de dormir	Yareukuwet++
Social_media 	CONSTITUCIÓN POLÍTICA.	PAMPARIYUTSI NET+RIYAMA.
Social_media 	CONSTITUCIÓN POLÍTICA	TATEIMA WATUKARI
Social_media 	CONSTITUCIÓN POLÍTICA	TANANASE T+ WAX+KÁ
Social_media 	Aretes de peyote.	TAKIEKARI NAIT+.
Social_media 	¿Y qué es lo que siembras con...?	'Ek+ ta kepetitewá wixarikak+...?
Social_media 	que pasó?	Kehan+y+ne?
Social_media 	CONSTITUCIÓN POLÍTICA.	PAMPARIYUTSI YUNAIT+.
Social_media 	Mis mujeres respondieron...	Neteukari netiku'eiyat+...
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS.	KE'AKU NE'IWAMA YUNAIT+ XEMUYEHANE... NEP+XETSIWAURIT+WA.
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS.	'AIX+ XETEU'ERIEKA HIK+ TUKARI 'IWAMARIXI.
Social_media 	¿Cuál es el final de la escala?	Kepa+ tiyuter+wa wixárikak+?
Social_media 	su nombre es cubierto por todo esto.	r+mi p+titewa wixarikak+ ik+ kuinie p+reuxuawe.
Social_media 	Gracias... Si quieres comer algo, mi casa te lo daré.	Pampariyutsi... X+ka pem+kwaim+k+ni Nekie waukawa kanix+aweni. Nemetsiwaurit+wa.
Social_media 	Si tu pie te lleva a pecar, cóbramelo y tíramelo. En esos días tendrás una visión:	H+ stipahane pillo keneuka h+awi p+netsiat+kirieni, kepauka tukari repexeiya etsiwa Tep+tetixata.
Social_media 	Au, está bien, pero el pillo podría decirle...	Au, 'aix+ p+'ane, pillo pa+ nemih+aweni...
Social_media 	diez	X+mi p+titwa
Social_media 	Yo también quiero dormir.	Ne tsiere rik+ rr+mi nepaukuaim+m+.
Social_media 	y yo lo arranque	Neta ne pei kuamtkt xtmi
Social_media 	Ven a mi casa...	K+m+ nekie....
Social_media 	yo he terminado	Ne ptnewatriya
Social_media 	Y el muchacho se rió del humo	A tya peyutatsenatt yeika karimutsi
Social_media 	Hermanos míos, ustedes no creen.	Aix+ xeteu'erieka ne'iwama.
Social_media 	y se la comió y dijo tu señora	Niu peukuaimukt tari munahane kanaineni a tya
Social_media 	Primero nuestros hermanos...	Ta'iwamari meri....
Social_media 	Vamos, los invito a ustedes a cenar...	K+m+ ri, nep+xe'inie h+ritsíe...
Social_media 	BASE PRIMERA. Queda prohibida la transmisión en territorio nacional.	TAKÍE. Tatewarí 'auríe tekutet+.
Social_media 	PRIMERA HISTORIA...	K+M+ RI NEKÍE...
Social_media 	-¡¡Si alguien quiere aprender KANIWENI!!!	¡¡¡ X+ka xewit+ m+'+kit+am+k+ni KANIY+WENI !!!
Social_media 	CONSTITUCIÓN..	MUXURI KANIXUAWENI..
Social_media 	nuestro corazón descansa	Ta'iyari tep+tiwauní
Social_media 	Otorgar licencias y permisos para construcciones;	PINITE M+TIMAIWE.
Social_media 	montones de incienso aquí y allá...	Tepuyuwa+kawa wixaritari 'ena yanarita...
Social_media 	__hch__	"Mat+ari mukahek+arix+tsíe mieme
Social_media 	nutridos de que antes, nuestros hermanos se encontraban en medio del mar,	Mep+tekuxaata kename meripait+, ta´iwat+arima mehayek+ reyetewakaku haramaratsíe,
Social_media 	Sólo brillaban la luna y las estrellas.	´Etsiwa xeik+a ´uhek+akaku metserik+, tsiere xurawetsixi wahek+.
Social_media 	Los apóstoles, por su parte, daban testimonio de Jesús, porque éstos se habían apartado de nosotros para seguir sus propias tradiciones.	Kaka+yaritsixi, meteutixaataka, tats+arí mem+yehuukaik+ tamatsi ka'uyumari meheuwaut+kait+, h++ritsíe pait+.
Social_media 	Iban de un lado para otro, cuando llegaron los montes y se pusieron en camino; y llegaron hasta la cumbre de la montaña sobre la que estaba asentado el rey. Entonces Pedro se encontró con un padre que lo había traicionado y que había traicionado a su padre. Lo envolvió en el fuego y comió en sus manos.	´Emeteutewit+ rí me´uhuut+, h+ri tsíe rí me heta´ax+aku, tamatsi kauyumari yuxa+tá peyuyetua memimienik+, m+k+ tari ´iyarieya hikuri patua. ´Ana ta ri yatiuy+ku, tats+arí meetsa m+y+ane yu niwé p+yetua, ka heuniereme, tsiere ´uti´+tsaiwame, tsiere kwinimieme reuta m+iweme, m+k+ ´ana taipa mepeih+a, yatíuh++yaku táu putinuiwax+, tats+arí tayéu.
Social_media 	En ese momento los cazadores fueron derrotados, y el amanecer fue iluminado.	´Ik+ ´ana mat+ari teweweiyamete máxa mepumi, tsiere ´ana mat+ari pukuhek+arix+.
Social_media 	Esta es la mesa de Wixarita."-	´ipa+ mep+tekuxaata Wixaritari."
Social_media 	muerto en el jabalí	K+m+ri tuixuampa
Social_media 	que mañana la niña tendrá que subir.	Ke aku uka nunutsi jakeperaka iyuniwa.
Social_media 	Ministro	Yurits+
Social_media 	verdaderamente	😍 h+ yurik+
Social_media 	que andas, ¿dónde estás yo en casa????	Ena pe tiuyeika, Aku ne kie?????
Social_media 	donde yo no he visto	Kepai ne ka atsi xeiyawe
Social_media 	Impulsar el respeto y conocimiento de las diversas culturas existentes en la nación.	a h+ wa'at+ kepai kwinimie pereu yewautse 😂😂😇 yak+ ne paine au ☺️
Social_media 	¿Quién eres tú?	h+ kepai ek
Social_media 	Si no quieres, no debes hacerlo."-	a+m+ yak+ pekaraine, aix+ts+ p+ ka hait+. au 😂 ne putimarii
Social_media 	Tambien un buen perro, mi compañera	Tam+ aix+ ts+ kamat+ , ne hamika
Social_media 	No es eso, ja, tal como tú eres mi compañero	hawaik+ kuta, hahah , aix+ ke ti neu erieka ek+ ne iwa
Social_media 	Mi cuñado	Neta'a kema Hutse
Social_media 	De modo que perdimos el juicio	Auu kuta tepitakwaniii
Social_media 	Por mi parte...	Ne han i kuta....
Social_media 	Caminaron unos gigantes	hu karik+ Xeime Tam+
Social_media 	La niña	Uka nunutsi
Social_media 	que no tiene mi bolsillo.	Kauka rik+ ne pururentsia.
Social_media 	Nunca hay que despreciar a un amigo encima de los demás.	haiiiii chiti ane masi yana tutset+ a heima kaka ja ja ja.
Social_media 	Nunca anden de caza ni por animales salvajes	Kam+ ta yekati ku niuwani kauka ts+ te kua ne ta yeix+ani unawasza
Social_media 	Adiós. Adiós.	Ak+utiá..HaT+á..
Social_media 	Estaba ansioso por regresar.	Kuinie kuta ekuyunemekuuu jeje.
Social_media 	Buenos días yo...	Kaku ne tatatsi....
Social_media 	Título Primero	Tsunami xeutetemari
Social_media 	por qué	Ke kuta uka
Social_media 	Nepó. El menor	Nepuk. Metsivery
Social_media 	y ya no habló más	Yak+ yak+ yak+
Social_media 	afuera?	X+ahui?
Social_media 	Buenos días, cierto jajaja	Ket+riiiiii, kewariiiiiii Xeiya jajaja
Social_media 	Lo que quiero es matarlo en mi boca	Hakevari m+haha+t+ ne pei'im+k+ n iva
Social_media 	El carruaje es mi más joven	Carikusi ne i yutemavieca ne iguari
Social_media 	que nuestro venado no tiene comparación	Matsiri tam+ch+ vaniu kautiy+ veni
Social_media 	SEGUNDA. De los Estados Unidos Mexicanos	HU WA.AT+>>>>3
Social_media 	Mi deseo es conservar la jajaja..	wa+ritsika ne panu wiyani jajaja..
Social_media 	-"¡Claro que sí! ¡Debe de ser un gigante!	A kauka... tam+ anet+t+ kani aneni!
Social_media 	estuvo envenenado...	Xeime pere´uayemani...
Social_media 	para que venga el veneno de alguien desconocida!...	Em+ panik+ uayeyari xewit+ kati mate!...
Social_media 	CONSTITUCIÓN POLÍTICA...	PE WA RU Kwi 'ini...
Social_media 	yo me entristezco... como un pájaro llorando.. sí...jj	Ne peyuksheiweriet+ya...wiki matsuaka hepa+..k kuta....jjj
Social_media 	Siete SSSS	Yeme wa at+ SSS
Social_media 	¡Ya no estoy aquí! ¡Nadie va a venir!"-	Yeri neka ni tuaka! xewit+ mi axe!
Social_media 	tantas como quieras con mis pies, córtate conmigo y yo te ayudaré,	Keepa+meme Pemaat+k+ Ke Ne At+a Ne Kie,keetiuuru M+k+ Ne Wixi Ne Kani Mim+k+,jaaajaajaa
Social_media 	Mónón de Ampaña con Au	M+k+ Ts+ Ampapa Xei Waxayaritsie Ekame Au Yak+
Social_media 	¡Tampoco! Por cierto... Jej	Tam+! Ukits+ karik+... Jej
Social_media 	por ejemplo el aceite de oliva!	tam+ paraxi teukarieya! taparie kiekame...
Social_media 	¡Allí está el gigante!	tam+ anet+t+ kani aneni!
Social_media 	Mi deseo es conservar la jajaja..	wa+ritsika ne panu wiyani jajaja..
Social_media 	SSSS cómo te mantienes siempre con tus pies... la paja	SSS ke kuta neu itserie a +kate ne xeiyat+...jaja
Social_media 	que las SSSSSS no saben de dónde vienen!!J	SSS SSS watuteya kuta xeka nanaimat+ au!! jj
Social_media 	mierda de jen"-	neuka i axe karik+ jej
Social_media 	CON UN GOLPE	KE KE NAN I XEIK+ari
Social_media 	puedes decir que estás loca!	aku xeniu penkauka ma!
Social_media 	Dicen que los jarros	Aku xeniu jajaja
Social_media 	Por desgracia la jajajajaja...	Tam+ makahuta jajajajaja...
Social_media 	la puerta... yo la bebo... que me besó. ¿Sería posible que	kupari... neti kuye... kenetsiu ix+ari.. peka yu kwatset+ kuta
Social_media 	pues el__en____en__	Matsiri nepar+
Social_media 	todo se desprendió de la jajaja	nai pereu x+t+a jajaja
Social_media 	Bueno, yo soy el primero ahora que estoy bajo un puente... y no puedo entenderlo fácilmente	nerik+ pa+ neuy+ka meri hik+ neka naka hat+ yeika... kaika tinemaiwe t+ka
Social_media 	y el oro no sopla como las estrellas...	Yuri yaki pekaraine pekatiuka itawa xurawe hepai...
Social_media 	-"La gente a qué...	Kwi titakita...
Social_media 	Estaba hilado	Kareta xuawiii
Social_media 	La mamá es una de las cabritas más grandes y...	Tita ti h+k+ m+k+ tsipu xixieya wa at+...
Social_media 	ese es nuestro jardín	tam+ echiwa timariyat+ jjj
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS	TITA TIH+K+ K+RINKUTSIXI WA UAYE HETSIII
Social_media 	Eso sí que es gratis	Tam+ echiwa timariyat+ jaj
Social_media 	JIJIJIJIJIO DE LA HISTORIA	JIJIJIJI HETSiiii me yu wa+kawa nik+ hiii
Social_media 	Así que podrías hacer...	m+tat+ kentiy+weni me...
Social_media 	Así que llamó a la SSS! Y no quería quitarle la llave	M+pa+ pekait+ au Wawixi SSS! Kataku nei nawamieni jeje
Social_media 	nuestro no es	tam+ pa+katiane
Social_media 	en verdad...	yurik+ h+me....
Social_media 	hacer	M+k+tat+ yuri
Social_media 	Nosotros--	Tatei-Kie tek+a...
Social_media 	así que ya no podemos comer más!	Tam+ tem+ ta wati yekwaiyatax+ tsie yate yu pa+t+!
Social_media 	ya puede hacer días	ya re ane ri hik+
Social_media 	Buenos días... Querida doncella, las doncellas...	Ke aku... Kewari tsinari ,, +imarixi... Nei iemeri ne peukuni
Social_media 	peyote	Tsankuri
Social_media 	Sus cuervos	Ukilai yatsariyaya
Social_media 	Siempre hay una gran cantidad	tam+ wa+kawa matexuawe
Social_media 	Buenos días,, ¿y qué otras muchachas	Ke aku,,, kewari tsinari ukari +imarixi
Social_media 	Yo ya estaba enfermo,	Ne pehautst+ariekairi,,,,
Social_media 	Está bien! Siguió entonces las dos	aix+ts+! pa+t+t+rik+ pak hutare jjj
Social_media 	yo debo tener hambre...	Ne peuhakam+k+..k ane neramimie...
Social_media 	o qué trabajaron	yakuta mete uximayata
Social_media 	es mi traer traer el lobo	kari ne hapa+ meukayu +raraxie
Social_media 	y en medio de los campos se	n warate akaku k paí jjj
Social_media 	mis gatos...	Ne mitsuri...tam+
Social_media 	Mis parientes, mis hermanos, mis amigos están aún en oscuridad!... ¡Ya tenemos un sueño!	Ne marema, ne 'iwama, ne hamikuma xeke neu kutsuniri pu y+wi!... Teuwa reu hein+kaniri! 'Uxa 'a ta
Social_media 	-"Voltea a nuestro favor, por eso.. que podría ser...	Nawa s+kat+ tateikie ,mieme..ke ane peikiere...
Social_media 	Yo pregunté..	Ne puti iwatsi..
Social_media 	Queridos pollitos..., muchachas	Kewari tsinari...,+imarixi
Social_media 	Jajajaja sí. Lajaja no tenía miedo	Jajajaja hu metat+.jajaja kauyukate wiyat+
Social_media 	Toma mi guisante... eso quiere decir, eso significa... ustedes están aquí... mis pajaritos	Tsiuka tiu wiwiye...ya xeik +@,,tiuyune t+t+....xene uwatsie...ne jamikumas
Social_media 	-"Tengo... que llevarte de regreso."-	Neukum+t+....ke paits+ neutatu nuaka..t+karik+...jjjj
Social_media 	haciendo una mesa en la mesa!	tawewiekame kere ku xata aku!
Social_media 	De ahí la invitación mía	echiwa kuta ne iniet+
Social_media 	yo tengo	nene p+ ye e
Social_media 	y lloró conmigo a la mañana siguiente...	Peutitsuani ne has miyu...
Social_media 	que tu ganchito está listo	Ke ane kuluci pana yuka heiverie
Social_media 	te golpeé.. con la	Neretikwewax+tsie..jjjjk
Social_media 	Jijiji estaba demasiado asustado de mi hombre	Jijiji ti ta yari kari peuma ne uki ne matieriekai
Social_media 	Tímax.. de azúcar	Tsimanixi..teukarimama
Social_media 	Jajaja se acercó y recogieron	Jajaja hu 'aku mt meteht kt
Social_media 	Jajaja es mi manto...	Jajaja ne mataits+...
Social_media 	Déjame ir...	Neu ti tuye....
Social_media 	que no tengo miedo...	Peka ne tiuti maka...
Social_media 	-"Voltea..yo veo.. Adiós.	K paits+ri..ne haunieret+..Wa+kawa..
Social_media 	exactamente	Aku yeme
Social_media 	Bueno, pues el dinero que llevo, quiere decir.	Aku tumini ne ku +it,+@ riwat+..xek,+@
Social_media 	Sucedió que tienes un enorme agua...	Matsiri `ekt ya pe `anett ha...
Social_media 	El__en__	Matsiri ne
Social_media 	MI HERMANO.. TERCERA.	NE YU MAKAXE..UKARIRI MATSI..
Social_media 	De la jarra... de la gigante	Jajja kepaitst... ya `anett
Social_media 	Hace... una vez...	Hu wat+..tsineti anet+...
Social_media 	-"Llevamos al tren..jjjj	K paits+ T+remuku..jjj
Social_media 	MI.. CONSTITUCIÓN. DE UN GOLPE. REFORMACIÓN. Piensa:	NE..KWEKWEMA..NE NEWARA ERIWAT+....kaneikiwet+ ts+ kentiyuk+h+aweni...
Social_media 	MUAT... que quiere decir...	MUA M+...tita tiy+@ne...
Social_media 	nunca fallará..jj	itsari kare x+ni..jjj
Social_media 	Sí, podemos mirar	Hu kasi,tsikere tepetaneniereni
Social_media 	juzgando a mi padre azul... mi abuelita me comió,	Hariyutsi papa ne pa eriwa yuyuawime...aku ne kutsi ne tsetimikwa...
Social_media 	La Jajaja es nuestro padre azul oscuro...	Jajaja tamt ta titari paapa yuyuawi pera `eriwa...Jaja
Social_media 	Arriba.. un mágico	A h+naripA..maxatsita
Social_media 	Él siempre tenía algo que decirnos.. ..primen...	Echiwa rí aix+ te penatiyuru wani....kwit+ mieme....tentihiwa...
Social_media 	la viva hacia los robles	viva aikutsita y kuyuaneneme jej
Social_media 	Tío.. Trae.je	Tsiepari..neurat+maim.jeje
Social_media 	Buenos días...	Pu wiwiye...
Social_media 	K entonces... había olvidado ahora un perro que yo resplandecía... y gritaba tan bien como podía...	K kuta...neurat+maiyakai hik+ ts+ ne xawati...kaiwat+ chiet+ aix+ neitawauni...
Social_media 	como si fueran mezquitas...	Wa 'at+ mezquitin...
Social_media 	Yo tengo hambre. Uno está llorando. Yo se lo comí. seguro que sí.	Ne peuhakam+k+.xewit+ tsuira ..ne neumikwa..x+@ ui kuta.
Social_media 	Él es nuestro panchulewA... quien se quejaba lógicamente	Echiwa te panchulewA....kuta me peyuku kwet@t+@
Social_media 	Bueno, vamos a pasar la noche .... Sí	K+m+t+ka teni kwaich+payuni ....hay+@
Social_media 	Al anochecer...jeje	Echiwa t+kaku....jeje
Social_media 	Déjala ir.. ..pero no seas cazada lógicamente	Te kwaich+pat+wet+.. .pero ts+ ukari xeik+@ jejeje
Social_media 	que es... que se me ha pegado a la cara..	Ke kuta ...neutikuye ne peu y+ +raxie.....
Social_media 	Mi novio... debe	Ne y+ +kit+anet+...tam+
Social_media 	Ahora... lajaja	M+k+tat+...jajaja
Social_media 	Cel... Vístete... nada más...	Cel...kemariteya...tam+ xeik+....
Social_media 	Tambien mi jarra...	Tam+ ne xamaruta...
Social_media 	en la escuela estaba hablando	lichi kanawet+.....a teukari katinikuxatani
Social_media 	o sea, nuestros hijos ... ustedes	ksiuma kata nuyemama ...temari
Social_media 	la jajajajajajita tiene tu nariz	jajajajjajajajj k+kame a tsume
Social_media 	el pajarito de soldado solamente	jajajjajajjajaj w+we de kuya xeik+a
Social_media 	Sí, claro que mi compañero.	hu aix+ ts+ ne ane eki ne iwa .
Social_media 	Él fue quien presentó	Tita petixata ne iwa
Social_media 	-"Debes comerla y beberla contigo."-	Aixi pekwatiane kueaaa aku kwarupa jajaaa me aku
Social_media 	-"Tengo una navaja.	Nemetsi nawani.
Social_media 	que el hombre... no debe	Ke aku uki...hawaik+ matsi
Social_media 	ya sabes muy bien que mi hermano necesita una jajaja	a nekiets+ ats+nautimate matsine jajaja k+m+ts+ari
Social_media 	que era	Que kuta temaikt
Social_media 	tu corazón se abre	A iyari payuhekta neunama
Social_media 	El Jeje ya estaba sentado.	Jeje yarikuu heerieri paka.
Social_media 	-"Uno es mi cuna, el Tito jijijii.	Uuuutsi ne kunatsi, Titari jijijiii.
Social_media 	Municipio	Mukütatü
Social_media 	que debemos de hacer para salvarnos	Ketukuta rik+ yak+t+keteneuyu h+ketu
Social_media 	Kturi.	Kturi.
Social_media 	hoy...???	Ket+rik+.......??
Social_media 	Buenos días	Kuaiiii rapinenaa
Social_media 	es la lista de... tú... tú... tú...	kaivat+¿¿¿ek+..matsiii.....perahuraaaaaa.....
Social_media 	Ay...	Ay kepaikuta.....
Social_media 	Por lo que respecta a Zhenia	Ket+rik+ ZhenAida
Social_media 	que nuestro venado no tiene comparación	Matsiri tam+ch+ vaniu kautiy+ veni
Social_media 	Lo que me hiciste todo será mío y yo lo veía tan bien que él...	Ke kuta penetsi uyuri nait+ri ne pansim+ni meta ne me tsi uxei tsie ena pai ne me tsi chenekai....
Social_media 	nuestros paisanos también	tam+ tekate hu
Social_media 	Un profundo jeje	Hauki yats+ jeje
Social_media 	y qué es lo que	titata m+k+
Social_media 	De modo que	Masi kuta h+
Social_media 	igual que yo	ne hepa+ xeyk+a
Social_media 	Sí, claro que eres un jabalí...jeje	Hu tsu aixu yuri pepaine...jeje
Social_media 	La jarra se hundió	Jajja huuriku
Social_media 	de modo que nada	yak++++
Social_media 	Jejeje... Entonces tomó el cuchillo	Jejeje... Yak+ paretaine jiji
Social_media 	Sí, por supuesto que sí	Huu de yuri e m+ nenek+ jejej
Social_media 	ya sabes muy bien que mi hermano necesita una jajaja	a nekiets+ ats+nautimate matsine jajaja k+m+ts+ari
Social_media 	Caperucita	Kuta ukary
Social_media 	-"¿Por qué es eso? jeje	titari m+k+? jeje
Social_media 	mi cuñado.	Ne kema.
Social_media 	-"¡Tú!, Sí, claro que sí!	ek+tsi!! Heet!! Ketsi ke ane! Jeje
Social_media 	Es una navaja... Jeje..	H+ nawa tawaiya... jejeje..﻿
Social_media 	el peyote azul	hikuri yuawy
Social_media 	La joven.. Mi vecina, barredera	+imari'.. Ne iwa', wixarika'
Social_media 	estés bien..	Aix+a pereuerieka..
Social_media 	Cuantas años has de recorrer..	Tsepa kepa+ witari pemuweiyani'ri..
Social_media 	No he dicho nada sino lo que has dicho.	neuka'euta kwikawe xeik+a ts+ari ya neka' niutay+ni..
Social_media 	Gracias a:3, tú siempre estás de acuerdo, pero en nuestros días siempre hay una mirada fija que dice:D	Pampariyutsi :3 , ek+ tsiere aix+ peu reu erieka, ta tukari m+ yiyeika chiteteyuxeiyat+ ta niu iwam+k+ :D
Social_media 	Alí con una chimenea	Alii uka chipe anet+
Social_media 	Estás bien para ir al príncipe! Los magistrados golpearon las ramas y las sostuvieron	Aix+ pereu mieni primita! Mutiraxi pewareti watsi+xame pewara t+ni au jaj
Social_media 	No importa lo que diga...	Tsepats+ tita aix+ kani y+m+k+ ... \n KAM+XENIU NANTAY+M+K+ KE EK+
Social_media 	Está bien! Siguió entonces las dos	aix+ts+! pa+t+t+rik+ pak hutare jjj
Social_media 	En cuanto a nosotros, llevando todos el rostro descubierto y reflejando la gloria de Dios, vamos incorporando su imagen cada vez más resplandeciente bajo el influjo del Espíritu de Dios, para que tengamos nuestra morada eterna en Dios.	Wixaritari keteteku'eriwat+ temu'uwa, takiekari hetsie tenuat+, tetakumait+ kename kay+we temuteuyehuani, ta 'iyari te tseiriyat+, ta 'iyari teukayetsat+ manatemeti'uweni, uxaá warie temu'uwanik+*
Social_media 	porque tenemos un Espíritu que resplandece dentro de nosotros hasta Dios, y nos libra del poder de las tinieblas.	ipat+ 'iyari temeuwa+t+ka, kaka+yari tsata t+t+ te'u 'uwat+...tak+mana tepeuyunanaima, pitikupine ta hetsiemieme t+t+......xaitsie 'iyari tep+kaheuwa+t+kani.......wa+ritsika...A+KWE.
Social_media 	Gracias, claro"-	Pampariyutsi, yuri tset+*
Social_media 	tu jabalí vivo	aixu ane muku
Social_media 	Como puedes ver, podemos dormirnos.	H+ wa'at+ lasuni pepexeiya, 'ayumieme temuwiyer+wa.
Social_media 	es mi hermano Augusto Mijorez, quien tiene su descendiente en Nibetzi	P+nianeni tam+ neiwa Aukwe Mijarez yu tzi teayerreiyat+ tamama Niwetzika
Social_media 	el pozo es grande	kaukatsi p+tene aneni
Social_media 	que en verdad estás loco, y crees que no lo eres.	yurik+ts+ aix+ pepaine Aukwe, aix+a pep+reu¨erieka.
Social_media 	Es tu esposo de la SSS, donde estamos."-	Ek+ pa+na SSS, mana tepeti'uweni*
Social_media 	Perdónanos el mal que hacemos, como también Dios nos ha hecho creer.	Tem+teheuyeh+ani, ta'iyari tetseiriyat+ 'uxa'awarie
Social_media 	así es	Pa+aneni kuta
Social_media 	gracias a mi esposo SSS	Pampariyutsi ne k+na SSS
Social_media 	otros dicen que son míos	Yak+ ne maine jait+ts+
Social_media 	el hombre dice	hauki ak+tsi pemaine
Social_media 	Allí te veías tan hermosa que hasta las primeras como un arroyo.	Hi tsi petitemaik+ ya xeik+a meripait+ hapa+ aki.
Social_media 	Varones, hermanos, ustedes los samaritanos, hombres y mujeres, y ustedes, los samaritanos, son gente de paso entre ustedes. Por eso les rogamos que se reúnan conmigo este domingo, a las nueve de la mañana.	'iwamarixi wixáritari xemuyehane, temari, 'uimarixi, 'ukitsi, 'ukari, xeyunait+ xemukutet+ká tep+xe'iníe 'ik+ tumikuti ximeri 9:00 'upaukakaku. XEPUKAUYEWEKÁ ne'ìwama.
Social_media 	el niño no me decía nada.	nunutsiyari ne yau pa+netih+awekai..
Social_media 	con mujeres preciosas..	ukari tsimeteuka iyari..
Social_media 	contigo solamente con tu dinero derivado...	a hetsie mapakaw+´ka xeik´+a a tumini ma uweiyat+...
Social_media 	-"¿Quién?? ¿Quién sabe? ¿Quiénes son?"-	KE KUTA¡¡?? KE KUTA ¡¡'? PENETSIUYRI..?
Social_media 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS	TEWAPAIT+ NE PAUYAWIE... ........ ...... TUTU CHIMU´ANE
Social_media 	De un lado para otro	'Ukari Wixáritari
Social_media 	Hombres y mujeres marchan hacia la casa	'Ukari meta 'ukitsi Tatei kie mem+tawiya
Social_media 	que es lo que estás diciendo!-	ke kuta pe'utaine ek+!!
Social_media 	qué feliz está hoy tu vida	aix+ keneyu temawieka hik+ a tukaritsie
Social_media 	En cuanto a ustedes, hermanos, vivan en paz, y tengan paz los unos con los otros, aunque sean vecinos de la familia y vecinos de Cristo.	ke aku iwamarixi, wa+ritsika xeun naakeni, aix+ xeteheu'erieka 'iwamarixi, tsepa kewapait+ xeme'uwa xekiekari xetsiwima, muwapait+ mekanieret+ mexetsi'+wiya...
Social_media 	Buenas tardes para todos.	Ke aku iwamarixi.. Kexete y+riyarie
Social_media 	fácilmente	Haix+a yeme
